"name","rating","year","game_type","achievements","genre","price","24h_peak"
"Circle Empires",80," 2018","Single-player",66,"Casual",7.99,43
"Cities in Motion",60," 2011","Single-player",47,"Simulation",164.73,27
"Cities in Motion 2",50," 2013","Single-player",51,"Simulation",19.99,39
"Cities: Skylines",80," 2015","Single-player",104,"Simulation",29.99,19659
"City Car Driving",50," 2016","Single-player",48,"Indie",24.99,623
"City of Chains",60," 2015","Single-player",52,"Adventure",8.99,1
"Civil War: Battle of Petersburg",60," 2017","Single-player",2,"Strategy",0.99,1
"CLANNAD",90," 2015","Single-player",22,"Adventure",49.99,119
"Clickdraw Clicker",30," 2016","Single-player",224,"Action",0.99,4
"Clockwise",50," 2017","Single-player",7,"Adventure",1.99,2
"Cloudbuilt",80," 2014","Single-player",37,"Action",19.99,2
"Clue/Cluedo: The Classic Mystery Game",80," 2018","Single-player",19,"Casual",11.99,121
"Clustertruck",80," 2016","Single-player",19,"Action",14.99,74
"Co-Co CORN MAFIA",50," 2017","Single-player",4,"Action",0.99,0
"Cogs",80," 2009","Single-player",18,"Indie",5.99,4
"Color Syndrome",50," 2016","Single-player",12,"Casual",0.99,1
"Commander Cool 2",50," 2015","Single-player",20,"Action",2.99,0
"Company of Heroes 2",60," 2013","Single-player",452,"Strategy",19.99,6460
"Conan Exiles",50," 2018","Single-player",25,"Action",39.99,12211
"Conan Unconquered",50," 2019","Single-player",111,"Strategy",29.99,10
"Conclusion",40," 2016","Single-player",4,"Adventure",1.99,0
"CONSORTIUM",60," 2014","Single-player",39,"Action",9.99,1
"Contagion",60," 2013","Single-player",36,"Action",9.99,37
"Control Craft 2",50," 2016","Single-player",6,"Action",2.99,60
"Cook, Serve, Delicious!",90," 2013","Single-player",52,"Action",9.99,25
"Cook, Serve, Delicious! 2!!",80," 2017","Single-player",45,"Action",12.99,37
"Cooking Simulator",60," 2019","Single-player",152,"Casual",19.99,175
"Cooking Witch",70," 2017","Single-player",40,"Action",1.99,0
"Cortex Command",80," 2012","Single-player",11,"Action",19.99,16
"Cossacks 3",60," 2016","Single-player",103,"Strategy",19.99,973
"Counter-Strike: Source",90," 2004","Online Multi-Player",147,"Action",9.99,5049
"Cowboy zombie",60," 2017","Single-player",8,"Casual",0.99,1
"CPU Invaders",80," 2017","Single-player",13,"Casual",0.99,68
"CRACKHEAD",60," 2016","Single-player",8,"Action",0.99,2
"Craft The World",80," 2014","Single-player",75,"Indie",18.99,539
"Crash Drive 2",80," 2015","Single-player",32,"Action",4.99,7
"Crashlands",80," 2016","Single-player",36,"Action",14.99,136
"Crazy Machines 3",90," 2016","Single-player",41,"Simulation",9.99,135
"CrazyCars3D",50," 2016","Single-player",9,"Action",2.99,4
"Crea",60," 2016","Single-player",50,"Action",14.99,7
"Creeper World 3: Arc Eternal",90," 2014","Single-player",139,"Indie",14.99,257
"Crimson Earth",50," 2017","Single-player",45,"Action",0.99,0
"Crimson Earth 2",50," 2017","Single-player",53,"Action",0.99,1
"Crisis in the Kremlin",80," 2017","Single-player",32,"Indie",4.99,9
"Crispy Chicken",50," 2017","Single-player",11,"Action",3.99,0
"Cruel Arena",50," 2015","Single-player",9,"Action",0.99,0
"Crusader Kings II",80," 2012","Single-player",161,"RPG",39.99,3189
"Crypt of the NecroDancer",90," 2015","Single-player",44,"Action",14.99,178
"Crystal City",80," 2017","Single-player",6,"Adventure",3.99,2
"Cubium Dreams",50," 2016","Single-player",5,"Action",3.99,1
"Cubway",50," 2016","Single-player",15,"Action",3.99,0
"Cultist Simulator",60," 2018","Single-player",72,"Indie",19.99,215
"Cuphead",90," 2017","Single-player",28,"Action",19.99,1713
"Curious Expedition",80," 2016","Single-player",60,"Adventure",14.99,126
"Cyberhunt",80," 2017","Single-player",500,"Action",0.99,143
"Daily Chthonicle: Editor's Edition",60," 2016","Single-player",8,"Adventure",3.99,2
"Damned",60," 2014","Online Multi-Player",37,"Adventure",19.99,7
"Danganronpa 2: Goodbye Despair",90," 2016","Single-player",47,"Adventure",19.99,328
"Danganronpa V3: Killing Harmony",80," 2017","Single-player",41,"Adventure",39.99,255
"Danganronpa: Trigger Happy Havoc",90," 2016","Single-player",38,"Adventure",19.99,273
"Darkness Assault",50," 2015","Single-player",15,"Action",1.99,1
"Darksiders II Deathinitive Edition",60," 2015","Single-player",50,"Action",29.99,219
"Darksiders III",50," 2018","Single-player",59,"Action",59.99,148
"Darkwood",80," 2017","Single-player",15,"Action",14.99,117
"Data Hacker: Initiation",50," 2014","Single-player",52,"Adventure",2.99,52
"Data Hacker: Reboot",50," 2015","Single-player",40,"Adventure",4.99,29
"Dawn of Man",60," 2019","Single-player",24,"Indie",24.99,581
"Day D: Tower Rush",50," 2016","Single-player",12,"Casual",259.54,15
"Day of Defeat: Source",80," 2010","Online Multi-Player",54,"Action",9.99,539
"Day of Infamy",80," 2017","Online Multi-Player",97,"Action",14.99,53
"Day of the Tentacle Remastered",90," 2016","Single-player",58,"Adventure",14.99,43
"Daylight",50," 2014","Single-player",16,"Action",9.99,2
"Dead by Daylight",60," 2016","Online Multi-Player",128,"Action",19.99,36836
"Dead Cells",80," 2018","Single-player",60,"Action",24.99,5243
"Dead Effect",60," 2014","Single-player",61,"Action",4.99,4
"Dead In Vinland",80," 2018","Single-player",50,"Adventure",19.99,44
"Dead Island Definitive Edition",60," 2016","Single-player",57,"Action",19.99,429
"DEAD OR ALIVE 6",50," 2019","Single-player",36,"Action",59.99,165
"Dead Realm",50," 2015","Online Multi-Player",37,"Action",14.99,0
"Dead Rising 4",50," 2017","Single-player",104,"Action",29.99,123
"Deadlight",60," 2012","Single-player",31,"Action",14.99,8
"Dear Esther: Landmark Edition",60," 2017","Single-player",10,"Adventure",9.99,17
"Dear RED - Extended",50," 2016","Single-player",11,"Indie",2.99,1
"Death Rally",50," 2012","Single-player",87,"Action",9.99,6
"Death Road to Canada",80," 2016","Single-player",72,"Action",14.99,106
"DeathMetal",70," 2016","Single-player",21,"Action",2.99,0
"Deep Space Dash",40," 2016","Single-player",16,"Action",0.99,56
"DEFCON",80," 2006","Single-player",22,"Indie",9.99,30
"Defend The Highlands",70," 2015","Single-player",40,"Indie",9.99,2
"Defense Grid: The Awakening",90," 2008","Single-player",87,"Indie",9.99,78
"Deiland",60," 2018","Single-player",24,"Adventure",14.99,11
"Democracy 3",60," 2013","Single-player",42,"Indie",24.99,30
"Deponia",80," 2012","Single-player",19,"Adventure",9.99,65
"Deponia Doomsday",80," 2016","Single-player",36,"Adventure",130.92,34
"Deponia: The Complete Journey",80," 2014","Single-player",105,"Adventure",29.99,71
"Depth",80," 2014","Single-player",40,"Action",19.99,52
"Descenders",80," 2019","Single-player",34,"Action",24.99,341
"Desktop Dungeons",80," 2013","Single-player",35,"Adventure",14.99,21
"Desolate Wastes: Vendor Chronicles",50," 2017","Single-player",9,"Action",1.99,31
"Despotism 3k",80," 2018","Single-player",30,"Indie",7.99,55
"Detention",60," 2017","Single-player",8,"Adventure",11.99,18
"Deus Ex: Human Revolution - Director's Cut",80," 2013","Single-player",59,"Action",19.99,248
"Devil May Cry 5",80," 2019","Single-player",51,"Action",59.99,2748
"Devil May Cry HD Collection",80," 2018","Single-player",99,"Action",29.99,272
"Diesel Brothers: Truck Building Simulator",50," 2019","Single-player",24,"Simulation",39.98,7
"Dino D-Day",80," 2011","Online Multi-Player",77,"Action",9.99,14
"Dinosaur Hunt",50," 2015","Single-player",1080,"Action",56.86,3
"DiRT 4",50," 2017","Single-player",48,"Racing",59.99,153
"DiRT Rally",80," 2015","Single-player",170,"Racing",39.99,259
"DiRT Rally 2.0",50," 2019","Single-player",54,"Racing",59.99,1560
"Disc Jam",80," 2017","Single-player",12,"Action",14.99,3
"Dishonored",90," 2012","Single-player",80,"Action",9.99,614
"Dishonored 2",80," 2016","Single-player",50,"Action",39.99,842
"Distant Space",60," 2016","Single-player",44,"Action",0.99,2277
"Distant Worlds: Universe",60," 2014","Single-player",54,"Simulation",59.99,29
"Divinity: Dragon Commander",60," 2013","Single-player",100,"Action",39.99,7
"DLC Quest",80," 2013","Single-player",22,"Indie",2.99,3
"Do Not Feed the Monkeys",80," 2018","Single-player",33,"Indie",11.99,130
"Domina",80," 2017","Single-player",34,"Action",9.99,28
"Don't open the doors!",80," 2016","Single-player",26,"Action",10.99,3
"Doodle Kingdom",50," 2016","Single-player",14,"Action",453.42,1
"DOOM",80," 2016","Single-player",54,"Action",19.99,1007
"Door Kickers",80," 2014","Single-player",43,"Action",19.99,40
"Door Kickers: Action Squad",80," 2018","Single-player",51,"Action",13.99,107
"Dots eXtreme",70," 2016","Single-player",9,"Casual",1.99,1
"Dragon's Dogma: Dark Arisen",80," 2016","Single-player",59,"Action",29.99,834
"DRAGON BALL FighterZ",80," 2018","Single-player",35,"Action",59.99,1540
"DRAGON BALL XENOVERSE",80," 2015","Single-player",50,"Action",39.99,170
"DRAGON BALL XENOVERSE 2",60," 2016","Single-player",61,"Action",49.99,1342
"Dragonia",80," 2017","Single-player",46,"Action",1.99,6
"Drawful 2",80," 2016","Local Multi-Player",10,"Casual",9.99,29
"Dream Daddy: A Dad Dating Simulator",80," 2017","Single-player",19,"Casual",14.99,29
"Dreamfall Chapters",80," 2017","Single-player",59,"Adventure",24.99,26
"Duck Game",90," 2015","Single-player",18,"Action",12.99,302
"Duke Nukem Forever",50," 2011","Single-player",62,"Action",19.99,46
"Duke of Alpha Centauri",60," 2016","Single-player",128,"Action",4.99,2
"Dungeon Creepster",50," 2017","Single-player",500,"Action",624.74,0
"Dungeon Defenders",80," 2011","Single-player",114,"Action",14.99,260
"Dungeon of Zolthan",60," 2016","Single-player",18,"Action",0.99,41
"Dungeons 2",60," 2015","Single-player",25,"RPG",19.99,44
"Dungeons 3",80," 2017","Single-player",60,"Simulation",39.99,198
"Dungeons of Dredmor",80," 2011","Single-player",124,"Casual",4.99,46
"Dungeons: The Eye of Draconus",50," 2014","Single-player",17,"Action",2.99,1
"DungeonUp",80," 2014","Single-player",49,"Adventure",4.99,5
"Dungetris",60," 2017","Single-player",32,"Adventure",3.99,3
"Dungreed",80," 2018","Single-player",16,"Action",9.99,218
"Duo",70," 2016","Single-player",30,"Casual",1.99,0
"Dust: An Elysian Tail",90," 2013","Single-player",30,"Action",14.99,26
"Dwarflings",70," 2017","Single-player",9,"Adventure",2.99,1
"Dying Light",80," 2015","Single-player",68,"Action",39.99,10488
"E.Y.E: Divine Cybermancy",80," 2011","Single-player",100,"Action",9.99,26
"Eador. Masters of the Broken World",50," 2013","Single-player",56,"Indie",19.99,57
"EARTH DEFENSE FORCE 4.1 The Shadow of New Despair",90," 2016","Single-player",51,"Action",19.99,278
"Earthtongue",80," 2015","Single-player",35,"Indie",4.99,1
"Edge of Space",40," 2015","Single-player",24,"Action",14.99,1
"EeOneGuy Adventure",50," 2016","Single-player",7,"Action",0.99,1
"Electric Circuit",70," 2015","Single-player",16,"Casual",0.99,2
"ELEX",60," 2017","Single-player",50,"Action",49.99,340
"Empire of the Gods",70," 2008","Single-player",15,"Casual",1.99,1
"Energy Balance",50," 2015","Single-player",9,"Casual",2.99,3
"Enter the Gungeon",80," 2016","Single-player",54,"Action",14.99,1092
"Epic Battle Fantasy 4",90," 2014","Single-player",104,"Adventure",11.99,22
"Epic Battle Fantasy 5",90," 2018","Single-player",102,"Adventure",14.99,153
"Epic Quest of the 4 Crystals",50," 2015","Single-player",25,"Adventure",9.99,10
"Escape This",50," 2016","Single-player",5,"Casual",0.99,14
"Escape Together",50," 2017","Single-player",12,"Adventure",0.99,0
"Euro Truck Simulator 2",90," 2012","Single-player",67,"Indie",19.99,34644
"Europa Universalis IV",80," 2013","Single-player",295,"Simulation",39.99,17240
"Eventide Night",70," 2017","Single-player",9,"Casual",1.99,0
"Evil Glitch",70," 2017","Single-player",27,"Action",2.99,2
"Evoland 2",80," 2015","Single-player",38,"Action",19.99,7
"Expeditions: Viking",80," 2017","Single-player",40,"Indie",29.99,64
"F.E.A.R. 3",60," 2011","Single-player",50,"Action",19.99,50
"F1 2014",60," 2014","Single-player",49,"Racing",29.99,38
"F1 2015",50," 2015","Single-player",45,"Racing",39.99,44
"F1 2016",80," 2016","Single-player",49,"Racing",59.99,32
"F1 2018",60," 2018","Single-player",50,"Racing",59.99,313
"Fable Anniversary",60," 2014","Single-player",50,"RPG",34.99,607
"Face It - A game to fight inner demons",50," 2017","Single-player",16,"Action",4.99,97
"Faeria",80," 2017","Single-player",59,"Adventure",24.99,77
"Faerie Solitaire",80," 2010","Single-player",30,"Casual",9.99,7
"Fairy Fencer F",80," 2015","Single-player",29,"RPG",19.99,4
"Fairyland: Incursion",40," 2016","Single-player",7,"Adventure",35.92,1
"Fake Colours",70," 2015","Single-player",3,"Casual",2.99,0
"Fallen Enchantress: Legendary Heroes",60," 2013","Single-player",54,"Indie",24.99,62
"Fallout 4",60," 2015","Single-player",84,"RPG",29.99,18532
"Fallout 4 VR",60," 2017","Single-player",50,"RPG",59.99,91
"Fallout: New Vegas",90," 2010","Single-player",75,"Action",9.99,4844
"Farm Life: Natures Adventure",50," 2016","Single-player",20,"Adventure",0.99,1
"Farm Manager 2018",50," 2018","Single-player",32,"Indie",19.99,37
"Farm Together",80," 2018","Single-player",56,"Casual",19.99,1868
"Farming Simulator 15",80," 2014","Single-player",16,"Simulation",19.99,281
"Farming Simulator 17",80," 2016","Single-player",17,"Simulation",19.99,873
"Farming Simulator 19",60," 2018","Single-player",23,"Simulation",34.99,6327
"FATE",80," 2005","Single-player",10,"Action",7.99,117
"Fate/EXTELLA",80," 2017","Single-player",53,"Action",39.99,21
"Fate/EXTELLA LINK",80," 2019","Single-player",44,"Action",49.99,54
"Fated Souls",50," 2015","Single-player",17,"Adventure",9.99,4
"Fearless Fantasy",80," 2014","Single-player",24,"Action",6.99,5
"Fell Seal: Arbiter's Mark",80," 2019","Single-player",43,"Indie",29.99,112
"FEMINAZI: The Triggering",80," 2017","Single-player",70,"Action",0.99,31
"Feral Fury",80," 2017","Single-player",30,"Action",6.99,1
"FEZ",80," 2013","Single-player",12,"Indie",9.99,33
"Fighter of Evil",50," 2017","Single-player",6,"Action",1.99,0
"FINAL FANTASY III",80," 2014","Single-player",18,"RPG",15.99,51
"FINAL FANTASY IV",80," 2014","Single-player",58,"RPG",15.99,53
"FINAL FANTASY IX",80," 2016","Single-player",85,"RPG",20.99,214
"FINAL FANTASY V",60," 2015","Single-player",96,"RPG",15.99,113
"FINAL FANTASY VI",60," 2015","Single-player",28,"RPG",15.99,145
"FINAL FANTASY VII",80," 2013","Single-player",36,"RPG",11.99,306
"FINAL FANTASY VIII",80," 2013","Single-player",45,"RPG",11.99,141
"FINAL FANTASY X/X-2 HD Remaster",80," 2016","Single-player",69,"RPG",29.99,417
"FINAL FANTASY XII THE ZODIAC AGE",80," 2018","Single-player",41,"RPG",49.99,233
"Fire Pro Wrestling World",80," 2017","Single-player",32,"Simulation",29.99,99
"Firewatch",80," 2016","Single-player",10,"Adventure",19.99,79
"Fishing: Barents Sea",60," 2018","Single-player",30,"Simulation",24.99,50
"Flat Kingdom Paper's Cut Edition",70," 2016","Single-player",48,"Action",7.99,1
"Flesh Eaters",60," 2016","Single-player",9,"Action",1.99,3
"Flight Control HD",80," 2010","Single-player",16,"Action",4.99,2
"Flix and Chill",80," 2017","Single-player",23,"Casual",0.99,1
